Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted,Engagement Score,Source Impact Score
Allison Smith,"Owens, Hubbard and Richardson",Healthcare,West,Large,Webinar,22,20.85,12,0,36,0,0.5355700528114321,0.6421080578786672
Melanie Bailey,Lopez-Hamilton,IT,West,Large,Organic,26,5.35,1,0,40,1,0.302578440509475,0.6340975739802719
Shirley Hansen,Smith-Nguyen,Healthcare,South,Small,Organic,47,16.32,6,0,185,1,0.6854095474785129,0.6340975739802719
Debra Crosby,Horton-Williams,Finance,West,Large,Ads,45,1.37,5,0,291,1,0.499534016775396,0.6415917503966155
Jane White,"Frederick, Brown and Miller",Finance,East,Medium,Ads,41,27.68,4,0,302,1,0.7202029615822719,0.6415917503966155
Kyle Anderson,"Lopez, Green and Allen",Finance,East,Medium,Webinar,6,26.44,7,0,71,1,0.3759966863415139,0.6421080578786672
Brandon Bryant,"Black, Kline and Vasquez",Finance,North,Small,Ads,35,4.4,13,0,222,0,0.5101998550274413,0.6415917503966155
Mr. Donald Bridges,Wall-Hill,Finance,West,Small,Organic,14,25.02,1,1,92,1,0.3820026923475199,0.6340975739802719
Michael Edwards,"Francis, Pierce and Willis",Retail,South,Medium,Email,45,29.33,8,0,168,1,0.8201304753028891,0.6447777327388191
Emma Brown,Luna-Allen,IT,West,Medium,Ads,6,22.15,20,0,192,0,0.46619032825929374,0.6415917503966155
Raymond Cooley,Johnson-Smith,Healthcare,West,Medium,Webinar,6,12.06,7,0,116,1,0.2270891581236409,0.6421080578786672
Loretta Fernandez,Cook-Davis,Healthcare,South,Medium,Webinar,16,17.79,16,1,92,1,0.48317282800041417,0.6421080578786672
William Fox,"Smith, Avila and Ortega",Healthcare,South,Medium,Webinar,13,15.56,1,1,287,0,0.2736874805840323,0.6421080578786672
Matthew Nichols,York LLC,IT,West,Large,Email,30,23.77,13,0,239,1,0.6590038314176244,0.6447777327388191
Sara Myers,Mcintyre-Walker,Finance,West,Small,Webinar,18,23.24,18,0,123,0,0.5810293051672362,0.6421080578786672
Garrett Todd,"Harper, Myers and Fowler",IT,North,Small,Email,10,17.35,11,0,347,0,0.3647095371233302,0.6447777327388191
Gregory Jenkins,Chandler LLC,Retail,West,Medium,Email,14,17.24,7,0,259,0,0.3635704670187428,0.6447777327388191
Erika Calderon,Hood Ltd,IT,South,Small,Email,30,4.58,15,1,360,1,0.4809982396189293,0.6447777327388191
Christopher Ortega,Phillips LLC,IT,North,Large,Webinar,37,10.42,7,0,366,1,0.5311173242207725,0.6421080578786672
Melissa Bailey,"Bray, Hansen and Douglas",Retail,East,Medium,Ads,33,26.86,14,0,88,1,0.7324220772496635,0.6415917503966155
James Hogan,White PLC,Retail,East,Medium,Webinar,3,21.86,8,1,304,0,0.3078595837216527,0.6421080578786672
Brianna Huff,"Hodge, Lawson and Adams",IT,East,Large,Email,21,25.62,13,0,156,0,0.5849642746194471,0.6447777327388191
David Kelly,Moses and Sons,Healthcare,North,Large,Email,47,16.78,10,1,170,1,0.7315936626281454,0.6447777327388191
Marc Holder,"Morris, Ramsey and Bryant",IT,East,Medium,Webinar,18,28.39,20,1,348,1,0.6550688619654137,0.6421080578786672
Laurie Poole,Colon Ltd,Education,East,Small,Email,21,18.04,15,1,251,1,0.5271823547685617,0.6447777327388191
Dr. John Hall PhD,Hayes-Becker,Retail,West,Medium,Email,16,13.5,14,1,62,1,0.41803872838355594,0.6447777327388191
Andrea Kennedy,George-Medina,Retail,East,Large,Webinar,3,23.22,15,0,327,1,0.394428911670291,0.6421080578786672
Melissa Allen,Henderson-Cameron,Finance,South,Small,Email,35,11.65,20,1,217,1,0.6577612094853474,0.6447777327388191
Eric Thomas,Bird-Hendricks,IT,South,Small,Ads,13,25.54,19,0,163,1,0.5634254944599771,0.6415917503966155
Brittany Valencia,Freeman and Sons,Education,North,Medium,Ads,33,2.22,1,0,84,0,0.3426529978254116,0.6415917503966155
Jason Smith,Meyer-Wiggins,Healthcare,South,Large,Email,13,23.21,16,0,203,1,0.5082323703013358,0.6447777327388191
Rachel Parker,"Rodriguez, Morales and Carr",Education,West,Large,Email,37,15.78,0,0,14,1,0.5141348244796521,0.6447777327388191
Paige Meyers,Lozano PLC,Finance,West,Small,Ads,29,27.43,18,1,155,1,0.7383245314279797,0.6415917503966155
Miguel Carlson,"Wilson, Briggs and Miller",IT,South,Small,Organic,16,18.71,13,0,235,0,0.46163404784094436,0.6340975739802719
Michael Webb,Garcia and Sons,Education,South,Large,Ads,44,21.42,10,0,50,1,0.7485761623692658,0.6415917503966155
Suzanne Oneal,Moore-Alvarez,Retail,South,Large,Webinar,42,16.11,8,0,356,0,0.6521694107901004,0.6421080578786672
Victoria Melendez,"Johnson, Grant and Wood",IT,North,Large,Email,50,10.0,3,0,231,0,0.6199647923785855,0.6447777327388191
Amy Ward,"Williams, Morris and Ross",Finance,East,Small,Webinar,13,18.82,17,1,216,1,0.4731283007145076,0.6421080578786672
Ms. Donna Nguyen,Smith-Velasquez,Retail,South,Small,Email,25,3.65,9,0,339,0,0.3574609091850471,0.6447777327388191
Teresa Calderon,"Miller, Rivas and Harrell",Healthcare,West,Small,Webinar,13,2.73,7,1,245,1,0.20296158227192707,0.6421080578786672
Michael Kramer,Chung PLC,IT,East,Small,Webinar,33,20.44,14,1,22,1,0.6659418038728383,0.6421080578786672
Melissa Davis,Harris and Sons,Finance,East,Large,Ads,36,20.53,18,1,281,1,0.7393600497048772,0.6415917503966155
Joseph Obrien,Torres-Townsend,Finance,East,Medium,Organic,21,17.42,7,0,216,0,0.4379206792999896,0.6340975739802719
Elizabeth Wolf,Lopez Ltd,IT,East,Small,Ads,41,18.06,17,1,209,1,0.7552034793414104,0.6415917503966155
Stanley Estes,"Carey, Gonzales and Jackson",Finance,East,Large,Organic,11,28.23,8,1,29,1,0.456663560111836,0.6340975739802719
Cassandra Peterson,"Ali, Watson and Nelson",Retail,North,Large,Webinar,4,11.64,11,1,9,0,0.24345034689862277,0.6421080578786672
Austin Baker,"Fox, Miller and Humphrey",Healthcare,North,Large,Webinar,50,3.28,20,1,232,1,0.7264160712436575,0.6421080578786672
Morgan White,Goodwin and Sons,Healthcare,West,Large,Webinar,16,17.91,5,1,47,1,0.3705084394739567,0.6421080578786672
Dawn Barrera,"Reid, English and Villarreal",Healthcare,South,Large,Webinar,22,10.62,7,1,38,1,0.37786061923992953,0.6421080578786672
Evan Williams,Rice Inc,Finance,East,Small,Email,17,5.39,10,0,52,1,0.30299264782023405,0.6447777327388191
Brad Burton,Oconnell LLC,IT,South,Large,Ads,39,20.88,20,1,255,1,0.7947602775188981,0.6415917503966155
Robin Daniels,Rivers Group,Retail,West,Large,Organic,46,7.52,11,0,282,1,0.6357046701874287,0.6340975739802719
Christopher Lucas,"Werner, Malone and Carter",Retail,East,Small,Organic,41,24.44,10,0,344,1,0.7487832660246453,0.6340975739802719
Nathan Williams,"Gregory, Best and Lawrence",Retail,North,Large,Ads,19,20.01,7,1,27,1,0.44403023713368545,0.6415917503966155
Steven Thompson,Lopez-Howell,Finance,North,Small,Organic,47,1.95,19,0,106,0,0.6712229470850161,0.6340975739802719
Megan Washington,Paul-Ruiz,IT,North,Small,Ads,13,12.22,19,0,167,1,0.4254944599772186,0.6415917503966155
Brittany Glover,Hurst PLC,Finance,East,Small,Ads,34,16.99,10,0,149,1,0.599150875012944,0.6415917503966155
Megan Cook,"Hall, Case and Carter",IT,South,Large,Ads,32,21.33,4,1,189,1,0.5612509060784923,0.6415917503966155
Amanda Hall,"Hernandez, Wagner and Alvarez",Finance,North,Medium,Email,43,24.24,4,1,181,0,0.7052914983949465,0.6447777327388191
Tiffany Griffin,Bailey PLC,Healthcare,East,Medium,Webinar,16,18.92,10,0,81,1,0.4327430879155017,0.6421080578786672
David Rivera,Bridges and Sons,Finance,East,Large,Webinar,19,12.9,12,0,71,1,0.4221808014911463,0.6421080578786672
Misty Hall,Taylor-Rogers,Education,North,Medium,Organic,15,7.68,9,0,274,1,0.29564046805426114,0.6340975739802719
Bruce Moore,Rojas Inc,Healthcare,North,Medium,Webinar,32,5.88,17,0,229,0,0.5358807082945014,0.6421080578786672
Jason Harris,Lewis-Wilkerson,IT,East,Small,Email,45,3.68,11,1,96,1,0.5855855855855856,0.6447777327388191
Michael Lee,Mathis-Leach,IT,East,Medium,Ads,50,16.12,15,1,156,1,0.8076007041524284,0.6415917503966155
Christopher Weaver,"Rivas, Salas and Jackson",Retail,North,Medium,Organic,36,6.6,10,1,221,1,0.5122708915812364,0.6340975739802719
Elizabeth Smith,Nguyen-Suarez,Healthcare,North,Medium,Webinar,46,2.12,10,0,267,1,0.5694315004659832,0.6421080578786672
Kimberly Sanchez,Liu and Sons,IT,North,Medium,Webinar,17,7.54,5,1,123,0,0.2734803769286528,0.6421080578786672
Emily Delgado,Gray and Sons,IT,South,Medium,Email,47,17.33,12,1,144,1,0.7579993786890338,0.6447777327388191
Heather Palmer,Mitchell PLC,Finance,North,Medium,Webinar,8,6.54,13,1,287,0,0.25277001139070104,0.6421080578786672
Anna Cortez,"Escobar, Rogers and Gilmore",Finance,West,Medium,Webinar,6,14.34,14,1,209,0,0.323185254219737,0.6421080578786672
Jeffrey Valencia,"Miles, Yu and Molina",Finance,West,Large,Email,8,4.81,3,1,84,0,0.13130371751061404,0.6447777327388191
Andrew Parker,Bradshaw-Hess,IT,North,Small,Organic,24,27.23,7,0,197,0,0.5705705705705706,0.6340975739802719
Michelle Hardy,Vargas Inc,Retail,South,Medium,Webinar,33,16.6,13,0,124,0,0.6158227192709951,0.6421080578786672
Miguel Cooper,"Rogers, Gutierrez and Swanson",Retail,West,Large,Organic,46,10.64,7,1,245,1,0.6265921093507301,0.6340975739802719
Jerry Jones,Richardson Inc,Education,North,Medium,Webinar,37,10.27,10,0,77,0,0.5606295951123537,0.6421080578786672
Manuel Johnson,Nichols-Hernandez,Finance,East,Large,Webinar,30,1.71,11,0,326,1,0.409858133996065,0.6421080578786672
Jesse Rocha,Black LLC,Finance,East,Small,Webinar,8,24.4,8,1,190,1,0.3859376617997307,0.6421080578786672
Jacqueline Torres,Hernandez Ltd,Education,North,Small,Email,36,19.0,9,1,311,1,0.6303199751475613,0.6447777327388191
Alicia Heath,Martin-Mason,IT,North,Small,Webinar,42,6.92,16,1,184,1,0.6398467432950191,0.6421080578786672
David James,Bailey-Montgomery,Education,South,Small,Webinar,49,11.18,7,0,166,0,0.6632494563529047,0.6421080578786672
Sabrina Grant,Gill Ltd,Retail,South,Small,Webinar,27,6.71,20,0,161,0,0.5237651444547996,0.6421080578786672
Samantha Blake,Stanton-Ramos,Retail,North,Large,Organic,43,18.56,4,1,138,0,0.6464740602671637,0.6340975739802719
Christopher Hughes,"Stone, Hudson and Hill",IT,South,Small,Organic,31,7.14,8,1,230,1,0.44537641089365226,0.6340975739802719
Frank Evans MD,Palmer Group,IT,West,Medium,Ads,2,13.07,16,0,126,1,0.28932380656518586,0.6415917503966155
Miss Lisa Hernandez,Jackson Group,IT,South,Medium,Webinar,42,10.42,20,0,176,0,0.7175106140623382,0.6421080578786672
Bobby Brown,"Black, Dennis and Berger",Finance,East,Large,Webinar,25,25.72,17,0,346,0,0.6688412550481515,0.6421080578786672
Emily Reynolds,"Jones, Wade and Jones",Finance,South,Large,Ads,8,29.76,8,0,165,0,0.4414414414414415,0.6415917503966155
Cindy Hernandez,Morgan Inc,Finance,West,Medium,Organic,1,5.73,4,1,76,0,0.07869938904421662,0.6340975739802719
Andrew Ochoa,Campbell Group,Healthcare,North,Large,Organic,9,8.95,5,1,335,1,0.20523972248110178,0.6340975739802719
Brian Williamson,Kennedy Inc,Education,East,Large,Webinar,18,12.21,19,1,292,1,0.4771668219944082,0.6421080578786672
Beth Phillips,Martinez Ltd,IT,North,Small,Webinar,36,8.12,15,1,159,1,0.5797866832349591,0.6421080578786672
Steve Walker,Sandoval-Edwards,IT,East,Medium,Ads,26,28.76,8,1,117,1,0.6174795485140313,0.6415917503966155
Kimberly Hunter,Olson Group,Healthcare,East,Small,Webinar,31,26.64,15,1,307,1,0.7197887542715129,0.6421080578786672
Darren Salazar,Lambert PLC,Healthcare,South,Large,Webinar,7,28.06,1,0,317,1,0.34099616858237547,0.6421080578786672
Jason Luna,"Dixon, Chapman and Johnston",Healthcare,East,Medium,Organic,36,16.52,1,1,167,0,0.5217976597286942,0.6340975739802719
Christina Palmer,"Turner, Jones and Kelley",Education,East,Small,Organic,16,24.01,1,1,173,0,0.3922543232888061,0.6340975739802719
Denise Oneill,Stephens and Sons,Healthcare,North,Large,Webinar,9,20.83,8,1,26,0,0.35932484208346277,0.6421080578786672
Heather Cross,Smith PLC,Finance,East,Large,Organic,10,8.09,5,0,250,0,0.20668944806875839,0.6340975739802719
Jennifer Nguyen,Lowe LLC,Finance,East,Medium,Email,5,7.32,10,0,296,1,0.198715957336647,0.6447777327388191
Thomas Blair,Davis-Boyd,Finance,North,Medium,Email,36,12.24,14,0,242,0,0.6120948534741638,0.6447777327388191
Amanda Mejia,Huber-Simmons,IT,East,Large,Ads,16,24.33,19,1,233,1,0.581961271616444,0.6415917503966155
Debra Davis,"Bonilla, Chandler and Lester",IT,South,Large,Organic,43,15.24,17,0,118,1,0.74671222947085,0.6340975739802719
Andrew Anderson,Long PLC,IT,South,Medium,Email,33,27.61,4,0,226,0,0.6366366366366366,0.6447777327388191
Daniel Chen,Lawrence PLC,Healthcare,South,Large,Webinar,33,5.24,12,1,46,1,0.48783266024645333,0.6421080578786672
Jonathan Mcdaniel,"Porter, Smith and Hansen",Healthcare,North,Medium,Email,42,23.83,7,1,164,1,0.7217562389976182,0.6447777327388191
Glenn Gibson,Berg-West,Retail,South,Small,Ads,38,19.73,7,0,77,1,0.6378792585689138,0.6415917503966155
Jeremy Oliver,Gill Inc,Healthcare,South,Large,Email,42,24.41,11,0,110,1,0.7691829760795277,0.6447777327388191
Jordan Little,"Moore, Hall and Benson",Education,South,Medium,Organic,43,1.46,11,1,215,1,0.5418867143005074,0.6340975739802719
Jennifer Wagner,Meyer-Salinas,Finance,South,Medium,Ads,12,1.63,17,1,313,1,0.2847675261468365,0.6415917503966155
Meghan Adams,Garcia-Hutchinson,Retail,East,Medium,Ads,39,4.62,3,0,304,0,0.45034689862276067,0.6415917503966155
Scott Logan,Sutton Inc,IT,North,Large,Organic,24,24.55,7,1,90,1,0.5428186807497152,0.6340975739802719
Michelle Scott,Ayala Inc,Finance,South,Small,Email,16,21.62,18,1,125,1,0.5435435435435436,0.6447777327388191
Caleb Vasquez,Carpenter Ltd,IT,North,Large,Email,48,10.41,1,1,206,0,0.582789686237962,0.6447777327388191
Karen Romero,Myers-Rodriguez,Healthcare,North,Small,Email,21,17.77,18,0,138,1,0.5554520037278657,0.6447777327388191
Stephanie Ward,"Bernard, Smith and Rush",IT,East,Small,Email,41,24.67,7,0,93,1,0.7200994097545822,0.6447777327388191
Walter Nichols,"Bryant, Hart and Martin",Finance,East,Medium,Email,25,8.97,5,1,207,1,0.3711297504400952,0.6447777327388191
Calvin Wilson,Evans LLC,IT,West,Medium,Ads,10,11.11,2,0,141,0,0.2068965517241379,0.6415917503966155
Matthew Aguilar,Hansen LLC,IT,South,Medium,Organic,35,10.91,16,0,127,1,0.6086776431604017,0.6340975739802719
Mary Morse,Serrano-Williams,Education,North,Large,Email,26,25.44,12,1,321,1,0.6245210727969348,0.6447777327388191
Joseph Clark,"Reed, Kelly and Ortiz",Education,South,Small,Ads,19,26.3,3,0,73,0,0.46774360567464013,0.6415917503966155
Mary Bentley,Martinez-Smith,Retail,South,Large,Webinar,7,21.62,18,0,85,0,0.4503468986227607,0.6421080578786672
Sonia Brown,Wise Ltd,Finance,South,Large,Ads,43,9.37,15,1,64,1,0.6652169410790101,0.6415917503966155
Gregory Miller,"Palmer, Davis and Davis",Retail,East,Large,Organic,40,25.25,11,0,214,1,0.7571709640675157,0.6340975739802719
Betty Vaughn,"Black, Jones and Wolfe",Finance,North,Small,Ads,48,25.7,1,1,71,0,0.7411204307756032,0.6415917503966155
Timothy Woods,Allen-Hunt,Healthcare,North,Small,Ads,21,17.2,8,0,291,0,0.44599772185979086,0.6415917503966155
Richard Baldwin,Fox-Garcia,Healthcare,West,Small,Webinar,18,9.7,14,0,311,1,0.3993993993993994,0.6421080578786672
Alexandra Cannon,"Schwartz, Johnson and Anderson",IT,West,Small,Email,24,19.42,8,0,328,0,0.5000517759138449,0.6447777327388191
Rebecca Morgan,"Spencer, Strong and Espinoza",Healthcare,West,Medium,Email,24,11.58,0,1,100,1,0.33602568085326706,0.6447777327388191
Brittany Cox,Larson Inc,IT,North,Large,Email,11,12.19,12,0,267,0,0.33198715957336644,0.6447777327388191
Curtis Jackson,Hall-Holland,Healthcare,South,Small,Webinar,27,16.75,4,0,253,0,0.4620482551517034,0.6421080578786672
Laurie Turner,"Hardy, Lamb and Wilson",Finance,South,Medium,Organic,33,11.9,9,0,332,1,0.525732629180905,0.6340975739802719
Edwin Roberson,Wilson LLC,Education,East,Small,Organic,27,13.33,13,0,193,0,0.5198301750025888,0.6340975739802719
Robert Walker,May PLC,Healthcare,East,Medium,Ads,4,6.93,2,1,363,1,0.10148079113596355,0.6415917503966155
Michael Ford,Flores and Sons,Education,South,Small,Organic,20,19.19,20,1,219,1,0.5805115460287874,0.6340975739802719
Janet Garcia,Garcia-Watson,Education,West,Large,Webinar,50,29.45,5,0,25,0,0.842083462773118,0.6421080578786672
Stephen Carson,Goodwin PLC,Retail,South,Small,Organic,32,21.22,13,1,77,1,0.6533084808946877,0.6340975739802719
Steven Merritt,Gates Group,Finance,North,Large,Organic,34,13.49,17,0,52,0,0.6353940147043594,0.6340975739802719
Kellie Walsh DVM,Smith-Baldwin,Education,East,Medium,Organic,6,5.88,17,0,232,0,0.2666459563011287,0.6340975739802719
Stephanie Espinoza,Ferguson-Whitaker,Finance,East,Large,Email,3,2.99,3,0,266,1,0.06068137102619861,0.6447777327388191
Ricky Hall,Scott-Jackson,Education,South,Small,Organic,5,2.17,3,0,77,1,0.07290048669359013,0.6340975739802719
David Keller,"Fields, Blackwell and Conley",IT,South,Small,Webinar,35,25.9,6,0,78,1,0.6603500051775915,0.6421080578786672
Richard Ramirez,Reed Ltd,Education,West,Medium,Organic,31,1.26,4,0,213,1,0.3430672051361706,0.6340975739802719
Angela Roberson,"Jackson, Marshall and Meadows",Retail,West,Small,Organic,9,27.59,13,0,19,0,0.481101791446619,0.6340975739802719
Carl Gonzalez,Jackson-Ramirez,Healthcare,South,Medium,Organic,12,3.48,5,0,19,1,0.17966242104173136,0.6340975739802719
Michael Smith,"Preston, Jones and Wilson",Healthcare,South,Large,Organic,13,27.34,17,1,340,1,0.5613544579061821,0.6340975739802719
Melissa Gomez,Barrera-Romero,Education,West,Large,Email,16,17.19,8,0,188,0,0.3941182561872217,0.6447777327388191
Alexis Skinner,Young-Price,Finance,East,Large,Email,32,16.83,4,0,293,1,0.5146525836181008,0.6447777327388191
Jacqueline Williams,"Mueller, Santiago and Thompson",IT,North,Small,Webinar,44,11.51,16,0,81,0,0.7080873977425701,0.6421080578786672
Angela Morales,Kline and Sons,Retail,South,Small,Email,33,22.6,2,0,270,0,0.5640468054261157,0.6447777327388191
Kenneth Bradley,Green LLC,Education,West,Medium,Organic,33,23.63,3,1,269,0,0.5850678264471367,0.6340975739802719
Andre Miller,Brooks-Wallace,Retail,North,Small,Ads,31,18.04,6,0,361,1,0.5375375375375375,0.6415917503966155
Tina Curtis,Garner LLC,Healthcare,North,Medium,Ads,29,14.59,5,0,228,0,0.4707466086776432,0.6415917503966155
William White,Greene Group,IT,North,Large,Ads,15,6.4,20,0,357,1,0.3962928445687066,0.6415917503966155
Jennifer Henson,Owen-Dickson,Finance,South,Small,Ads,36,19.75,13,0,134,0,0.6795070933001968,0.6415917503966155
Emily Cohen,"Hunter, Gray and Strong",Education,East,Medium,Organic,4,21.35,19,1,363,1,0.42684063373718545,0.6340975739802719
Stephanie Anderson,Mejia Group,Healthcare,East,Medium,Organic,38,3.26,13,0,331,1,0.5294604949777363,0.6340975739802719
Jacob Davis,Matthews-Martinez,Healthcare,South,Medium,Email,8,18.21,6,1,139,0,0.30112871492181836,0.6447777327388191
Thomas Price,Webster LLC,Retail,West,Large,Ads,23,5.05,10,0,63,1,0.36160298229263743,0.6415917503966155
Judy Reilly,Parker and Sons,Healthcare,East,Small,Webinar,33,24.98,0,1,184,0,0.5679817748783266,0.6421080578786672
Joshua Kelly,Klein PLC,Retail,West,Small,Email,49,10.54,16,0,69,0,0.7498187843015428,0.6447777327388191
Kenneth Bell,"Cooper, Morgan and Williams",Education,West,Medium,Webinar,40,24.77,5,0,321,0,0.6900693797245521,0.6421080578786672
William Mills,Maldonado-Nielsen,Healthcare,South,Medium,Organic,38,3.07,11,1,274,1,0.5067826447136792,0.6340975739802719
Stacey Hendrix,Newman Group,IT,South,Large,Organic,23,14.96,20,0,300,1,0.5677746712229471,0.6340975739802719
Jason Newman,"Friedman, Valencia and Mann",Healthcare,West,Large,Email,30,10.59,13,0,116,1,0.5225225225225225,0.6447777327388191
Amanda Rodriguez,"Fischer, Newman and Thompson",Education,West,Medium,Email,8,29.61,14,1,202,0,0.5020192606399503,0.6447777327388191
Michael Ray,Young-Gonzalez,Finance,East,Large,Ads,23,29.05,11,1,44,1,0.6204825515170342,0.6415917503966155
Beverly Scott,Hutchinson-Rodriguez,Healthcare,South,Small,Ads,40,25.59,14,1,26,1,0.7917572745158952,0.6415917503966155
Jill Cline,"Ramos, Woods and Hines",Finance,West,Large,Organic,5,28.97,6,1,247,1,0.3814849332090711,0.6340975739802719
Jimmy Robertson,"Pineda, Howard and Shannon",Healthcare,East,Large,Ads,27,27.58,3,1,66,1,0.5638397017707362,0.6415917503966155
Brian Clements,"Clark, Griffin and Vaughn",Finance,West,Medium,Email,42,24.44,13,1,189,1,0.7902039971005488,0.6447777327388191
Shane Wong,"Ray, Wells and Jones",Education,East,Large,Email,49,16.01,7,0,133,1,0.7132649891270582,0.6447777327388191
Susan Valenzuela,"Johns, Barrett and Petty",Education,South,Small,Webinar,34,23.66,5,0,21,1,0.6164440302371337,0.6421080578786672
Aaron Acosta,Mcdaniel-Collins,Healthcare,West,Large,Organic,40,25.68,2,1,342,1,0.6684270477373926,0.6340975739802719
Lori Barber,"Lee, Roy and Brewer",Healthcare,North,Large,Email,24,5.54,13,1,29,1,0.4080977529253391,0.6447777327388191
Michael Ross,"Gonzalez, Lopez and Miller",Healthcare,East,Medium,Email,12,9.88,6,0,252,1,0.25629077353215285,0.6447777327388191
Mary Mcknight,Ramirez LLC,Healthcare,East,Small,Ads,32,16.32,3,1,225,1,0.49901625763694724,0.6415917503966155
Tony Patterson,Davis Group,Education,West,Small,Email,29,22.32,19,1,133,1,0.6957647302474887,0.6447777327388191
David Walter,Sanchez-Hoffman,Education,East,Medium,Email,39,28.51,0,0,68,1,0.6666666666666667,0.6447777327388191
Justin Guzman,"Beltran, Mcdowell and Rodriguez",Healthcare,South,Large,Webinar,14,29.82,20,1,180,1,0.6284560422491456,0.6421080578786672
Scott Morgan,Norris-Parker,Finance,East,Small,Organic,13,22.61,17,0,266,1,0.5123744434089261,0.6340975739802719
Amy Fox,Rogers Group,Retail,South,Medium,Organic,34,25.21,13,1,242,1,0.7153360256808533,0.6340975739802719
Rhonda Wright,Long LLC,Education,West,Medium,Organic,41,9.63,14,1,326,1,0.6368437402920161,0.6340975739802719
Dylan Floyd,"Herrera, Delacruz and Patterson",Healthcare,East,Medium,Webinar,47,29.72,11,1,85,1,0.875944910427669,0.6421080578786672
Christopher Bishop,Wagner PLC,Education,North,Small,Email,13,3.78,17,0,141,1,0.3173863518691105,0.6447777327388191
Christopher Hoffman,Tapia Group,Retail,South,Large,Organic,24,9.0,3,0,94,1,0.3403748576162369,0.6340975739802719
Stuart Brown,Crawford and Sons,Healthcare,South,Small,Organic,36,16.23,15,1,161,1,0.6637672154913534,0.6340975739802719
Danielle Dean,Hawkins-Smith,Retail,East,Large,Ads,20,9.56,8,0,129,1,0.3565289427358393,0.6415917503966155
Alyssa Shaw,Gonzalez Inc,IT,North,Small,Email,6,14.39,11,0,70,0,0.29263746505125815,0.6447777327388191
Jennifer Knight,"Montgomery, Barry and Dawson",IT,North,Small,Email,13,20.13,3,0,1,1,0.34172103137620374,0.6447777327388191
