Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted
Marc Holder,"Morris, Ramsey and Bryant",IT,East,Medium,Webinar,18,28.39,20,1,348,1
Laurie Poole,Colon Ltd,Education,East,Small,Email,21,18.04,15,1,251,1
Dr. John Hall PhD,Hayes-Becker,Retail,West,Medium,Email,16,13.5,14,1,62,1
Andrea Kennedy,George-Medina,Retail,East,Large,Webinar,3,23.22,15,0,327,1
Melissa Allen,Henderson-Cameron,Finance,South,Small,Email,35,11.65,20,1,217,1
Eric Thomas,Bird-Hendricks,IT,South,Small,Ads,13,25.54,19,0,163,1
Brittany Valencia,Freeman and Sons,Education,North,Medium,Ads,33,2.22,1,0,84,0
Jason Smith,Meyer-Wiggins,Healthcare,South,Large,Email,13,23.21,16,0,203,1
Rachel Parker,"Rodriguez, Morales and Carr",Education,West,Large,Email,37,15.78,0,0,14,1
Paige Meyers,Lozano PLC,Finance,West,Small,Ads,29,27.43,18,1,155,1
Miguel Carlson,"Wilson, Briggs and Miller",IT,South,Small,Organic,16,18.71,13,0,235,0
Michael Webb,Garcia and Sons,Education,South,Large,Ads,44,21.42,10,0,50,1
Suzanne Oneal,Moore-Alvarez,Retail,South,Large,Webinar,42,16.11,8,0,356,0
Victoria Melendez,"Johnson, Grant and Wood",IT,North,Large,Email,50,10,3,0,231,0
Amy Ward,"Williams, Morris and Ross",Finance,East,Small,Webinar,13,18.82,17,1,216,1
Ms. Donna Nguyen,Smith-Velasquez,Retail,South,Small,Email,25,3.65,9,0,339,0
Teresa Calderon,"Miller, Rivas and Harrell",Healthcare,West,Small,Webinar,13,2.73,7,1,245,1
Michael Kramer,Chung PLC,IT,East,Small,Webinar,33,20.44,14,1,22,1
Melissa Davis,Harris and Sons,Finance,East,Large,Ads,36,20.53,18,1,281,1
Joseph Obrien,Torres-Townsend,Finance,East,Medium,Organic,21,17.42,7,0,216,0
Elizabeth Wolf,Lopez Ltd,IT,East,Small,Ads,41,18.06,17,1,209,1
Stanley Estes,"Carey, Gonzales and Jackson",Finance,East,Large,Organic,11,28.23,8,1,29,1
Cassandra Peterson,"Ali, Watson and Nelson",Retail,North,Large,Webinar,4,11.64,11,1,9,0
Austin Baker,"Fox, Miller and Humphrey",Healthcare,North,Large,Webinar,50,3.28,20,1,232,1
Morgan White,Goodwin and Sons,Healthcare,West,Large,Webinar,16,17.91,5,1,47,1
Dawn Barrera,"Reid, English and Villarreal",Healthcare,South,Large,Webinar,22,10.62,7,1,38,1
Evan Williams,Rice Inc,Finance,East,Small,Email,17,5.39,10,0,52,1
Brad Burton,Oconnell LLC,IT,South,Large,Ads,39,20.88,20,1,255,1
Robin Daniels,Rivers Group,Retail,West,Large,Organic,46,7.52,11,0,282,1
Christopher Lucas,"Werner, Malone and Carter",Retail,East,Small,Organic,41,24.44,10,0,344,1
Nathan Williams,"Gregory, Best and Lawrence",Retail,North,Large,Ads,19,20.01,7,1,27,1
Steven Thompson,Lopez-Howell,Finance,North,Small,Organic,47,1.95,19,0,106,0
Megan Washington,Paul-Ruiz,IT,North,Small,Ads,13,12.22,19,0,167,1
Brittany Glover,Hurst PLC,Finance,East,Small,Ads,34,16.99,10,0,149,1
Megan Cook,"Hall, Case and Carter",IT,South,Large,Ads,32,21.33,4,1,189,1
Amanda Hall,"Hernandez, Wagner and Alvarez",Finance,North,Medium,Email,43,24.24,4,1,181,0
Tiffany Griffin,Bailey PLC,Healthcare,East,Medium,Webinar,16,18.92,10,0,81,1
David Rivera,Bridges and Sons,Finance,East,Large,Webinar,19,12.9,12,0,71,1
Misty Hall,Taylor-Rogers,Education,North,Medium,Organic,15,7.68,9,0,274,1
Bruce Moore,Rojas Inc,Healthcare,North,Medium,Webinar,32,5.88,17,0,229,0
Jason Harris,Lewis-Wilkerson,IT,East,Small,Email,45,3.68,11,1,96,1
Michael Lee,Mathis-Leach,IT,East,Medium,Ads,50,16.12,15,1,156,1
Christopher Weaver,"Rivas, Salas and Jackson",Retail,North,Medium,Organic,36,6.6,10,1,221,1
Elizabeth Smith,Nguyen-Suarez,Healthcare,North,Medium,Webinar,46,2.12,10,0,267,1
Kimberly Sanchez,Liu and Sons,IT,North,Medium,Webinar,17,7.54,5,1,123,0
Emily Delgado,Gray and Sons,IT,South,Medium,Email,47,17.33,12,1,144,1
Heather Palmer,Mitchell PLC,Finance,North,Medium,Webinar,8,6.54,13,1,287,0
Anna Cortez,"Escobar, Rogers and Gilmore",Finance,West,Medium,Webinar,6,14.34,14,1,209,0
Jeffrey Valencia,"Miles, Yu and Molina",Finance,West,Large,Email,8,4.81,3,1,84,0
Andrew Parker,Bradshaw-Hess,IT,North,Small,Organic,24,27.23,7,0,197,0
Michelle Hardy,Vargas Inc,Retail,South,Medium,Webinar,33,16.6,13,0,124,0
Miguel Cooper,"Rogers, Gutierrez and Swanson",Retail,West,Large,Organic,46,10.64,7,1,245,1
Jerry Jones,Richardson Inc,Education,North,Medium,Webinar,37,10.27,10,0,77,0
Manuel Johnson,Nichols-Hernandez,Finance,East,Large,Webinar,30,1.71,11,0,326,1
Jesse Rocha,Black LLC,Finance,East,Small,Webinar,8,24.4,8,1,190,1
Jacqueline Torres,Hernandez Ltd,Education,North,Small,Email,36,19,9,1,311,1
Alicia Heath,Martin-Mason,IT,North,Small,Webinar,42,6.92,16,1,184,1
David James,Bailey-Montgomery,Education,South,Small,Webinar,49,11.18,7,0,166,0
Sabrina Grant,Gill Ltd,Retail,South,Small,Webinar,27,6.71,20,0,161,0
Samantha Blake,Stanton-Ramos,Retail,North,Large,Organic,43,18.56,4,1,138,0
Christopher Hughes,"Stone, Hudson and Hill",IT,South,Small,Organic,31,7.14,8,1,230,1
Frank Evans MD,Palmer Group,IT,West,Medium,Ads,2,13.07,16,0,126,1
Miss Lisa Hernandez,Jackson Group,IT,South,Medium,Webinar,42,10.42,20,0,176,0
Bobby Brown,"Black, Dennis and Berger",Finance,East,Large,Webinar,25,25.72,17,0,346,0
Emily Reynolds,"Jones, Wade and Jones",Finance,South,Large,Ads,8,29.76,8,0,165,0
Cindy Hernandez,Morgan Inc,Finance,West,Medium,Organic,1,5.73,4,1,76,0
Andrew Ochoa,Campbell Group,Healthcare,North,Large,Organic,9,8.95,5,1,335,1
Brian Williamson,Kennedy Inc,Education,East,Large,Webinar,18,12.21,19,1,292,1
Beth Phillips,Martinez Ltd,IT,North,Small,Webinar,36,8.12,15,1,159,1
Steve Walker,Sandoval-Edwards,IT,East,Medium,Ads,26,28.76,8,1,117,1
Kimberly Hunter,Olson Group,Healthcare,East,Small,Webinar,31,26.64,15,1,307,1
Darren Salazar,Lambert PLC,Healthcare,South,Large,Webinar,7,28.06,1,0,317,1
Jason Luna,"Dixon, Chapman and Johnston",Healthcare,East,Medium,Organic,36,16.52,1,1,167,0
Christina Palmer,"Turner, Jones and Kelley",Education,East,Small,Organic,16,24.01,1,1,173,0
Denise Oneill,Stephens and Sons,Healthcare,North,Large,Webinar,9,20.83,8,1,26,0
Heather Cross,Smith PLC,Finance,East,Large,Organic,10,8.09,5,0,250,0
Jennifer Nguyen,Lowe LLC,Finance,East,Medium,Email,5,7.32,10,0,296,1
Thomas Blair,Davis-Boyd,Finance,North,Medium,Email,36,12.24,14,0,242,0
Amanda Mejia,Huber-Simmons,IT,East,Large,Ads,16,24.33,19,1,233,1
Debra Davis,"Bonilla, Chandler and Lester",IT,South,Large,Organic,43,15.24,17,0,118,1
Andrew Anderson,Long PLC,IT,South,Medium,Email,33,27.61,4,0,226,0
Daniel Chen,Lawrence PLC,Healthcare,South,Large,Webinar,33,5.24,12,1,46,1
Jonathan Mcdaniel,"Porter, Smith and Hansen",Healthcare,North,Medium,Email,42,23.83,7,1,164,1
Glenn Gibson,Berg-West,Retail,South,Small,Ads,38,19.73,7,0,77,1
Jeremy Oliver,Gill Inc,Healthcare,South,Large,Email,42,24.41,11,0,110,1
Jordan Little,"Moore, Hall and Benson",Education,South,Medium,Organic,43,1.46,11,1,215,1
Jennifer Wagner,Meyer-Salinas,Finance,South,Medium,Ads,12,1.63,17,1,313,1
Meghan Adams,Garcia-Hutchinson,Retail,East,Medium,Ads,39,4.62,3,0,304,0
Scott Logan,Sutton Inc,IT,North,Large,Organic,24,24.55,7,1,90,1
Michelle Scott,Ayala Inc,Finance,South,Small,Email,16,21.62,18,1,125,1
Caleb Vasquez,Carpenter Ltd,IT,North,Large,Email,48,10.41,1,1,206,0
Karen Romero,Myers-Rodriguez,Healthcare,North,Small,Email,21,17.77,18,0,138,1
Stephanie Ward,"Bernard, Smith and Rush",IT,East,Small,Email,41,24.67,7,0,93,1
Walter Nichols,"Bryant, Hart and Martin",Finance,East,Medium,Email,25,8.97,5,1,207,1
Calvin Wilson,Evans LLC,IT,West,Medium,Ads,10,11.11,2,0,141,0
Matthew Aguilar,Hansen LLC,IT,South,Medium,Organic,35,10.91,16,0,127,1
Mary Morse,Serrano-Williams,Education,North,Large,Email,26,25.44,12,1,321,1
Joseph Clark,"Reed, Kelly and Ortiz",Education,South,Small,Ads,19,26.3,3,0,73,0
Mary Bentley,Martinez-Smith,Retail,South,Large,Webinar,7,21.62,18,0,85,0
Sonia Brown,Wise Ltd,Finance,South,Large,Ads,43,9.37,15,1,64,1
Gregory Miller,"Palmer, Davis and Davis",Retail,East,Large,Organic,40,25.25,11,0,214,1
Betty Vaughn,"Black, Jones and Wolfe",Finance,North,Small,Ads,48,25.7,1,1,71,0
Timothy Woods,Allen-Hunt,Healthcare,North,Small,Ads,21,17.2,8,0,291,0
Richard Baldwin,Fox-Garcia,Healthcare,West,Small,Webinar,18,9.7,14,0,311,1
Alexandra Cannon,"Schwartz, Johnson and Anderson",IT,West,Small,Email,24,19.42,8,0,328,0
Rebecca Morgan,"Spencer, Strong and Espinoza",Healthcare,West,Medium,Email,24,11.58,0,1,100,1
Brittany Cox,Larson Inc,IT,North,Large,Email,11,12.19,12,0,267,0
Curtis Jackson,Hall-Holland,Healthcare,South,Small,Webinar,27,16.75,4,0,253,0
Laurie Turner,"Hardy, Lamb and Wilson",Finance,South,Medium,Organic,33,11.9,9,0,332,1
Edwin Roberson,Wilson LLC,Education,East,Small,Organic,27,13.33,13,0,193,0
Robert Walker,May PLC,Healthcare,East,Medium,Ads,4,6.93,2,1,363,1
Michael Ford,Flores and Sons,Education,South,Small,Organic,20,19.19,20,1,219,1
Janet Garcia,Garcia-Watson,Education,West,Large,Webinar,50,29.45,5,0,25,0
Stephen Carson,Goodwin PLC,Retail,South,Small,Organic,32,21.22,13,1,77,1
Steven Merritt,Gates Group,Finance,North,Large,Organic,34,13.49,17,0,52,0
Kellie Walsh DVM,Smith-Baldwin,Education,East,Medium,Organic,6,5.88,17,0,232,0
Stephanie Espinoza,Ferguson-Whitaker,Finance,East,Large,Email,3,2.99,3,0,266,1
Ricky Hall,Scott-Jackson,Education,South,Small,Organic,5,2.17,3,0,77,1
David Keller,"Fields, Blackwell and Conley",IT,South,Small,Webinar,35,25.9,6,0,78,1
Richard Ramirez,Reed Ltd,Education,West,Medium,Organic,31,1.26,4,0,213,1
Angela Roberson,"Jackson, Marshall and Meadows",Retail,West,Small,Organic,9,27.59,13,0,19,0
Carl Gonzalez,Jackson-Ramirez,Healthcare,South,Medium,Organic,12,3.48,5,0,19,1
Michael Smith,"Preston, Jones and Wilson",Healthcare,South,Large,Organic,13,27.34,17,1,340,1
Melissa Gomez,Barrera-Romero,Education,West,Large,Email,16,17.19,8,0,188,0
Alexis Skinner,Young-Price,Finance,East,Large,Email,32,16.83,4,0,293,1
Jacqueline Williams,"Mueller, Santiago and Thompson",IT,North,Small,Webinar,44,11.51,16,0,81,0
Angela Morales,Kline and Sons,Retail,South,Small,Email,33,22.6,2,0,270,0
Kenneth Bradley,Green LLC,Education,West,Medium,Organic,33,23.63,3,1,269,0
Andre Miller,Brooks-Wallace,Retail,North,Small,Ads,31,18.04,6,0,361,1
Tina Curtis,Garner LLC,Healthcare,North,Medium,Ads,29,14.59,5,0,228,0
William White,Greene Group,IT,North,Large,Ads,15,6.4,20,0,357,1
Jennifer Henson,Owen-Dickson,Finance,South,Small,Ads,36,19.75,13,0,134,0
Emily Cohen,"Hunter, Gray and Strong",Education,East,Medium,Organic,4,21.35,19,1,363,1
Stephanie Anderson,Mejia Group,Healthcare,East,Medium,Organic,38,3.26,13,0,331,1
Jacob Davis,Matthews-Martinez,Healthcare,South,Medium,Email,8,18.21,6,1,139,0
Thomas Price,Webster LLC,Retail,West,Large,Ads,23,5.05,10,0,63,1
Judy Reilly,Parker and Sons,Healthcare,East,Small,Webinar,33,24.98,0,1,184,0
Joshua Kelly,Klein PLC,Retail,West,Small,Email,49,10.54,16,0,69,0
Kenneth Bell,"Cooper, Morgan and Williams",Education,West,Medium,Webinar,40,24.77,5,0,321,0
William Mills,Maldonado-Nielsen,Healthcare,South,Medium,Organic,38,3.07,11,1,274,1
Stacey Hendrix,Newman Group,IT,South,Large,Organic,23,14.96,20,0,300,1
Jason Newman,"Friedman, Valencia and Mann",Healthcare,West,Large,Email,30,10.59,13,0,116,1
Amanda Rodriguez,"Fischer, Newman and Thompson",Education,West,Medium,Email,8,29.61,14,1,202,0
Michael Ray,Young-Gonzalez,Finance,East,Large,Ads,23,29.05,11,1,44,1
Beverly Scott,Hutchinson-Rodriguez,Healthcare,South,Small,Ads,40,25.59,14,1,26,1
Jill Cline,"Ramos, Woods and Hines",Finance,West,Large,Organic,5,28.97,6,1,247,1
Jimmy Robertson,"Pineda, Howard and Shannon",Healthcare,East,Large,Ads,27,27.58,3,1,66,1
Brian Clements,"Clark, Griffin and Vaughn",Finance,West,Medium,Email,42,24.44,13,1,189,1
Shane Wong,"Ray, Wells and Jones",Education,East,Large,Email,49,16.01,7,0,133,1
Susan Valenzuela,"Johns, Barrett and Petty",Education,South,Small,Webinar,34,23.66,5,0,21,1
Aaron Acosta,Mcdaniel-Collins,Healthcare,West,Large,Organic,40,25.68,2,1,342,1
Lori Barber,"Lee, Roy and Brewer",Healthcare,North,Large,Email,24,5.54,13,1,29,1
Michael Ross,"Gonzalez, Lopez and Miller",Healthcare,East,Medium,Email,12,9.88,6,0,252,1
Mary Mcknight,Ramirez LLC,Healthcare,East,Small,Ads,32,16.32,3,1,225,1
Tony Patterson,Davis Group,Education,West,Small,Email,29,22.32,19,1,133,1
David Walter,Sanchez-Hoffman,Education,East,Medium,Email,39,28.51,0,0,68,1
Justin Guzman,"Beltran, Mcdowell and Rodriguez",Healthcare,South,Large,Webinar,14,29.82,20,1,180,1
Scott Morgan,Norris-Parker,Finance,East,Small,Organic,13,22.61,17,0,266,1
Amy Fox,Rogers Group,Retail,South,Medium,Organic,34,25.21,13,1,242,1
Rhonda Wright,Long LLC,Education,West,Medium,Organic,41,9.63,14,1,326,1
Dylan Floyd,"Herrera, Delacruz and Patterson",Healthcare,East,Medium,Webinar,47,29.72,11,1,85,1
Christopher Bishop,Wagner PLC,Education,North,Small,Email,13,3.78,17,0,141,1
Christopher Hoffman,Tapia Group,Retail,South,Large,Organic,24,9,3,0,94,1
Stuart Brown,Crawford and Sons,Healthcare,South,Small,Organic,36,16.23,15,1,161,1
Danielle Dean,Hawkins-Smith,Retail,East,Large,Ads,20,9.56,8,0,129,1
Alyssa Shaw,Gonzalez Inc,IT,North,Small,Email,6,14.39,11,0,70,0
Jennifer Knight,"Montgomery, Barry and Dawson",IT,North,Small,Email,13,20.13,3,0,1,1
Kathleen Guerrero,Lewis-Baird,Education,West,Large,Webinar,8,12.3,10,1,236,0
Daniel Bennett,"Whitehead, Grimes and Ford",Education,West,Medium,Email,11,15.13,8,1,41,1
Christopher Williamson,Walker Ltd,Healthcare,West,Small,Organic,45,9.78,8,1,7,1
Jonathan Smith,James LLC,IT,East,Large,Organic,34,20.57,17,1,144,1
Andre Woods,Marshall-Gutierrez,Education,South,Small,Webinar,32,8.11,5,1,103,1
Jennifer George,"Anderson, Caldwell and Lopez",Retail,West,Large,Ads,30,1.56,17,1,311,1
Kaitlyn Bray,Russell and Sons,Education,South,Medium,Organic,21,10.54,19,0,205,1
Jenna Martinez,"Davila, Lopez and Neal",Healthcare,South,Large,Email,45,14.81,1,0,185,1
Mariah Poole,Smith Inc,Finance,North,Medium,Organic,35,20.87,20,0,213,0
Benjamin Jones,"Solomon, Gordon and Wolfe",Retail,North,Small,Organic,13,6.59,18,1,176,1
Steven Mcconnell,"Murphy, Jackson and Bradley",Finance,South,Medium,Ads,15,14.96,8,0,141,1
Brandon Cuevas,Carpenter LLC,Retail,South,Medium,Email,11,18.89,11,1,4,1
Sabrina Fowler,"Smith, Simpson and Ross",IT,South,Large,Ads,42,10.59,19,1,137,1
Alex Martin,Carter-Welch,Finance,South,Large,Organic,10,12.85,12,1,284,0
John White,"Hill, Brown and Reynolds",Retail,East,Large,Email,30,6.37,4,1,297,1
Eric Wood,Blake-Lee,Education,East,Medium,Email,18,15.84,4,1,348,1
Brenda Douglas,"Snyder, Moore and Lopez",Healthcare,North,Small,Email,30,28.68,18,0,299,1
Matthew Ellis,Stephenson-Russell,IT,South,Large,Webinar,18,10.46,20,1,12,1
Amanda Smith,"Willis, Cross and Carter",IT,South,Medium,Organic,29,29.39,6,1,83,1
Beverly Mckenzie DVM,Diaz-Hansen,Retail,East,Small,Email,9,28.73,0,0,174,0
Justin French,"Coleman, White and Orozco",Healthcare,North,Medium,Organic,1,25.01,3,0,147,0
Rachel Keith,Smith and Sons,Retail,South,Large,Organic,16,28.62,16,1,127,1
James Johnston,Kline-Freeman,IT,East,Small,Email,48,20.44,12,0,227,0
Nicholas Drake,"Christensen, Willis and Hart",IT,West,Medium,Ads,12,26.67,16,0,11,1
Brian Moore,Perry Group,IT,East,Large,Organic,29,3.91,6,1,86,1
Carolyn Atkins,Nelson Group,Education,South,Small,Email,47,23.59,19,1,6,1
Christian Obrien,Joseph-Brown,Education,East,Small,Organic,31,28.88,1,1,215,0
Megan Holloway,"Randolph, Phelps and Carter",Finance,East,Small,Organic,28,16.51,12,1,127,1
Courtney Jones,Hunter PLC,Finance,East,Medium,Email,38,3.59,9,1,303,1
Daniel Duncan,Gilbert-Skinner,Education,East,Large,Ads,43,23.22,19,1,242,1
Michael Bishop,Bailey Inc,Retail,East,Large,Ads,49,5.72,4,0,41,0
Abigail Cameron,Romero-Boone,Healthcare,West,Small,Email,16,27.11,6,0,279,1
Thomas Greene,Thompson LLC,Finance,North,Medium,Organic,49,26.98,15,1,283,1
James Santos,Page Group,Healthcare,North,Small,Webinar,31,22.28,19,0,108,1
Tiffany Campbell,Holmes-Alexander,Finance,South,Large,Email,43,5.45,10,0,315,1
Brian Nelson,Kennedy-Lara,Finance,East,Large,Webinar,49,19.63,9,0,316,0
Christopher Figueroa,Kaufman LLC,Healthcare,South,Medium,Organic,36,19.18,9,1,40,1
Tammy Bates,"Flores, Davis and Cameron",IT,North,Small,Ads,35,7.39,13,1,244,1
Justin Norman,White-Ross,IT,North,Large,Organic,34,12.82,11,0,362,0
Brenda Taylor,King Inc,Education,West,Small,Email,34,6.63,8,1,58,1
Pamela Sanchez,Vega-Acevedo,IT,East,Large,Webinar,34,24.82,14,1,211,1
Amy Ross,Scott Group,Finance,South,Large,Organic,22,9.31,16,1,363,1
Trevor Crane,Powell-Brown,Retail,North,Large,Email,10,2.31,7,0,179,0
Bryce Jackson,Fisher-Riley,Healthcare,North,Small,Webinar,4,20.06,10,0,318,1
Shane White,Anderson-Hunter,IT,South,Large,Webinar,13,15.07,3,0,229,0
Walter Goodman,"Evans, Rogers and Moore",Education,West,Medium,Email,42,19.8,15,1,164,1
Alexis Kelley,Ayala LLC,Healthcare,West,Medium,Ads,43,22.18,14,1,320,1
Elizabeth Conner,Tran LLC,IT,East,Medium,Organic,24,13.85,17,1,313,1
Nancy Mason,"Mercado, Herrera and Pena",Education,North,Medium,Email,48,20.44,14,0,271,0
Peggy Allen,Delacruz Group,Retail,South,Large,Organic,46,15.81,9,1,155,1
Victor Calderon,Neal-Salazar,Retail,South,Small,Email,26,18.68,5,1,95,0
Jill Phelps,Garcia Group,Healthcare,West,Small,Organic,4,23.82,14,0,90,1
Wesley Martinez,"Vazquez, Sloan and Alexander",IT,East,Small,Organic,16,24.45,10,0,215,1
Chad Carlson,"Harris, Brandt and Flores",Healthcare,West,Small,Email,3,15.98,12,0,81,1
Jerome Andrews,Porter-Black,Finance,South,Medium,Ads,16,27.28,16,0,33,0
Lance Davis,"Bryant, Contreras and Barker",Finance,East,Small,Ads,5,23.32,6,1,10,1
Scott Moreno,"Waller, Glover and Romero",IT,South,Medium,Webinar,1,22.41,20,0,233,0
Elizabeth Parker,Garcia Group,Retail,South,Medium,Webinar,19,19.88,11,0,41,1
Patricia Buck,"Brown, Castillo and Sharp",Retail,South,Medium,Ads,26,28.67,15,1,199,1
Lance Rose,Best-Flores,Finance,South,Small,Organic,17,16.81,3,0,24,0
Richard Boyd,"Horton, Lucas and Delgado",Healthcare,East,Large,Email,47,6.71,12,1,256,1
Michele Wilson,Gardner-Shaffer,Healthcare,East,Small,Organic,26,10.68,17,0,365,0
Rose Vega,"Sullivan, Green and Shannon",Healthcare,North,Large,Organic,2,9.47,11,1,39,0
Jean Burton,Wagner-Peters,Finance,South,Large,Organic,5,28.84,16,1,251,1
Thomas Booth,"Martin, Hooper and Mcintyre",Finance,South,Large,Ads,2,24.77,5,0,212,0
Lauren Cortez,Thompson Inc,Retail,North,Small,Email,17,28.5,16,1,319,1
Ashley Velez,"Stevenson, Villanueva and Edwards",Education,South,Large,Webinar,12,1.9,6,0,83,0
Billy Williams,Harris LLC,Healthcare,West,Medium,Ads,36,18.38,3,1,146,0
Gabrielle Garrett,"Jackson, Cook and Reid",Education,West,Medium,Webinar,50,25.73,11,0,195,0
Jessica Rodriguez,"Bailey, Jones and Reyes",IT,East,Medium,Ads,48,2.7,16,1,196,1
Christopher Lewis,"Snyder, Duncan and Berger",Education,West,Small,Email,19,12.12,0,0,115,0
Benjamin Brown,Ward-Martinez,Healthcare,East,Small,Webinar,7,8.52,14,0,82,0
Dillon Keller DDS,King Inc,Education,West,Small,Webinar,37,4.74,14,0,362,1
Anita Moss,Jackson-Marshall,IT,South,Medium,Organic,8,14.29,3,0,198,0
Marcus Gibson,Anderson PLC,Finance,East,Small,Ads,20,1.5,5,1,244,0
Paul Arnold,Sherman-Garza,Retail,East,Small,Ads,25,4.5,18,0,163,1
Allison Maldonado,"Nixon, Herrera and Lopez",IT,West,Small,Ads,15,2.57,6,1,171,1
Jennifer Allen,"Webb, Wilson and Lee",Retail,East,Large,Organic,2,16.28,11,0,46,0
Jeff Malone,Villa Group,Finance,East,Large,Ads,34,21.86,19,0,180,1
Jackie Rose,"Romero, Payne and Robertson",Finance,South,Large,Email,49,18.99,8,1,289,1
Samantha Davis,"Tyler, Mathis and Werner",Education,South,Large,Organic,21,15.47,4,0,322,0
Adam Ingram,Roman Group,IT,North,Small,Ads,31,25.48,0,1,329,1
Corey Fletcher,Watson and Sons,IT,East,Large,Organic,49,26.72,20,0,330,0
Audrey Stewart,Herrera-King,Healthcare,West,Medium,Organic,2,22.64,2,1,341,0
